epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4126,1.65681,1.86868,1.79987,0.4631,0.45604,0.43556,0.14868,2.35238,2.1902,2.52583,0.000551359,0.000551359,0.000551359
2,88.5696,1.63145,1.49882,1.7546,0.64501,0.45613,0.48228,0.16905,2.30032,2.56108,2.4222,0.00108511,0.00108511,0.00108511
3,129.64,1.61728,1.50843,1.74927,0.47068,0.49436,0.47843,0.16535,2.42737,2.25621,2.5905,0.00159685,0.00159685,0.00159685
4,170.405,1.60096,1.44967,1.71594,0.49194,0.5178,0.46503,0.16158,2.43109,2.26855,2.50003,0.00156798,0.00156798,0.00156798
5,211.147,1.50862,1.32236,1.64276,0.49468,0.60654,0.54685,0.20248,2.29633,1.68874,2.39235,0.00153497,0.00153497,0.00153497
6,252.04,1.47763,1.26833,1.61885,0.53453,0.57004,0.55922,0.20129,2.30986,1.69914,2.39221,0.00150197,0.00150197,0.00150197
7,292.827,1.43342,1.20835,1.58962,0.59675,0.61817,0.5818,0.22287,2.25678,1.626,2.30849,0.00146896,0.00146896,0.00146896
8,333.551,1.40518,1.167,1.56825,0.57421,0.59938,0.58241,0.22553,2.2436,1.589,2.29442,0.00143595,0.00143595,0.00143595
9,374.343,1.35994,1.09009,1.51842,0.53468,0.56653,0.50499,0.15577,2.50655,1.68733,2.63136,0.00140295,0.00140295,0.00140295
10,414.979,1.33762,1.08354,1.51115,0.63199,0.65137,0.64865,0.23237,2.25498,1.46223,2.35836,0.00136994,0.00136994,0.00136994
11,455.725,1.30562,1.0417,1.48551,0.65869,0.66567,0.6435,0.27492,2.09357,1.34156,2.15869,0.00133693,0.00133693,0.00133693
12,496.506,1.30263,1.02352,1.48602,0.62545,0.64952,0.65248,0.2737,2.08175,1.42581,2.21992,0.00130393,0.00130393,0.00130393
13,537.265,1.29285,1.01133,1.47099,0.61246,0.64125,0.63746,0.26583,2.20604,1.3862,2.28142,0.00127092,0.00127092,0.00127092
14,578.094,1.25573,0.95868,1.43933,0.64714,0.67545,0.62338,0.23752,2.26882,1.60871,2.39142,0.00123791,0.00123791,0.00123791
15,618.829,1.21359,0.9338,1.41792,0.65873,0.68351,0.67155,0.27382,2.16202,1.33081,2.22425,0.00120491,0.00120491,0.00120491
16,659.646,1.19985,0.90396,1.40396,0.68585,0.66619,0.65877,0.25306,2.25067,1.38058,2.40822,0.0011719,0.0011719,0.0011719
17,700.397,1.18547,0.90638,1.39507,0.63589,0.62949,0.59954,0.22924,2.33378,1.47746,2.45733,0.00113889,0.00113889,0.00113889
18,741.13,1.16592,0.88417,1.38444,0.68316,0.67872,0.65582,0.24779,2.30227,1.39493,2.41475,0.00110589,0.00110589,0.00110589
19,781.845,1.15476,0.86261,1.3728,0.74291,0.70814,0.71466,0.26692,2.17682,1.33616,2.26636,0.00107288,0.00107288,0.00107288
20,822.491,1.14148,0.83589,1.35758,0.71378,0.72173,0.70404,0.29993,2.12301,1.26685,2.22129,0.00103987,0.00103987,0.00103987
21,863.327,1.1203,0.81874,1.35131,0.71536,0.69746,0.70991,0.29017,2.14246,1.35024,2.23235,0.00100687,0.00100687,0.00100687
22,904.025,1.09858,0.8013,1.32999,0.64971,0.6809,0.66102,0.27581,2.17051,1.33418,2.24732,0.000973861,0.000973861,0.000973861
23,944.691,1.08773,0.78042,1.31551,0.72448,0.72075,0.70406,0.30618,2.15889,1.36685,2.21539,0.000940855,0.000940855,0.000940855
24,985.35,1.07784,0.7809,1.31843,0.7185,0.70134,0.69573,0.27954,2.12985,1.36528,2.2009,0.000907848,0.000907848,0.000907848
25,1025.98,1.05296,0.76481,1.29759,0.7333,0.6902,0.69183,0.28671,2.10079,1.28617,2.19555,0.000874842,0.000874842,0.000874842
26,1066.76,1.03238,0.73922,1.28727,0.72287,0.7009,0.67248,0.27761,2.13708,1.31657,2.22893,0.000841835,0.000841835,0.000841835
27,1107.4,1.01601,0.7292,1.27318,0.74295,0.67716,0.66926,0.25949,2.17027,1.35441,2.28395,0.000808828,0.000808828,0.000808828
28,1148.25,1.00903,0.71219,1.27397,0.70318,0.69553,0.6854,0.28224,2.14421,1.25048,2.27372,0.000775822,0.000775822,0.000775822
29,1188.94,0.99559,0.69342,1.25887,0.74485,0.71959,0.73418,0.30278,2.11264,1.1993,2.19568,0.000742815,0.000742815,0.000742815
30,1229.54,0.98749,0.69018,1.26364,0.78108,0.70208,0.71738,0.29582,2.11249,1.27352,2.19775,0.000709809,0.000709809,0.000709809
31,1270.09,0.98711,0.68369,1.25099,0.75629,0.71292,0.71652,0.29848,2.12264,1.185,2.21109,0.000676802,0.000676802,0.000676802
32,1310.77,0.96174,0.67373,1.23821,0.75882,0.7143,0.72347,0.29711,2.10682,1.23213,2.23213,0.000643795,0.000643795,0.000643795
33,1351.39,0.94327,0.65252,1.22889,0.77219,0.69903,0.71354,0.30162,2.12818,1.36804,2.19489,0.000610789,0.000610789,0.000610789
